189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/login.do HTTP/1.1" 200 13166
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:29 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:39 -0600] "POST /Promocion/login HTTP/1.1" 302 -
189.203.217.22 - - [20/Mar/2017:21:39:39 -0600] "GET /Promocion/admin/usuario/index.do HTTP/1.1" 200 19583
189.203.217.22 - - [20/Mar/2017:21:39:39 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:39 -0600] "GET /Promocion/resources/css/styles.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:39 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:39 -0600] "GET /Promocion/resources/js/bootstrap.min.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:40 -0600] "GET /Promocion/resources/js/sweetalert.min.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:40 -0600] "GET /Promocion/resources/js/jquery.twbsPagination.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:40 -0600] "GET /Promocion/resources/js/bootstrap-session-timeout.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:40 -0600] "GET /Promocion/resources/js/functions-system.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:40 -0600] "GET /Promocion/resources/js/bootstrap-select.min.js HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:40 -0600] "POST /Promocion/admin/usuario/index.do HTTP/1.1" 405 -
189.203.217.22 - - [20/Mar/2017:21:39:45 -0600] "POST /Promocion/admin/usuario/index.do HTTP/1.1" 200 17487
189.203.217.22 - - [20/Mar/2017:21:39:45 -0600] "GET /Promocion/resources/css/sweetalert.css HTTP/1.1" 304 -
189.203.217.22 - - [20/Mar/2017:21:39:45 -0600] "GET /Promocion/resources/css/bootstrap-select.min.css HTTP/1.1" 304 -
